game_id,HomeTeam,AwayTeam,HomeScore,AwayScore,Home_xG,Away_xG,Home_shots,Away_shots,Home_corner,Away_corner,Home_PK_Goal,Away_PK_Goal,Home_PK_shots,Away_PK_shots,Home_ToP,game_ordered_id,home_elo_start,away_elo_start,home_elo_end,away_elo_end
game_2023_1,PRO,MAN,1,1,1.63,0.34,17,8,5,4,0,0,0,0,0.53,1,1500.0,1500.0,1512.5,1487.5
game_2023_2,FOR,LEX,1,0,0.98,0.9,9,11,5,2,0,0,0,0,0.57,2,1500.0,1500.0,1512.5,1487.5
game_2023_3,SJU,DES,1,2,1.23,1.11,16,9,6,7,0,0,0,0,0.47,3,1500.0,1500.0,1487.5,1512.5
game_2023_4,FAR,ANC,0,1,2.27,1.08,4,14,8,3,0,0,0,0,0.51,4,1500.0,1500.0,1487.5,1512.5
game_2023_5,DOV,BAK,0,0,1.9,0.56,17,6,5,3,0,0,0,0,0.53,5,1500.0,1500.0,1512.5,1487.5
game_2023_6,ALB,LAR,1,1,0.62,0.78,11,17,9,4,0,0,0,0,0.54,6,1500.0,1500.0,1487.5,1512.5
game_2023_7,SAS,MOB,0,0,0.75,0.38,14,12,7,6,0,0,0,0,0.44,7,1500.0,1500.0,1512.5,1487.5
game_2023_8,CHM,EUG,0,0,1.54,1.18,11,3,8,0,0,0,0,0,0.57,8,1500.0,1500.0,1512.5,1487.5
game_2023_9,TOL,JAC,1,2,1.2,1.2,17,20,6,4,0,0,0,0,0.49,9,1500.0,1500.0,1487.5,1512.5
game_2023_10,REN,OAK,1,1,0.7,0.17,7,7,4,6,0,0,0,0,0.57,10,1500.0,1500.0,1512.5,1487.5
game_2023_11,SFS,AUG,1,1,1.34,1.2,6,11,2,1,0,0,0,0,0.54,11,1500.0,1500.0,1512.5,1487.5
game_2023_12,TUC,BOI,1,5,1.06,2.09,17,14,7,7,0,0,1,1,0.53,12,1500.0,1500.0,1487.5,1512.5
game_2023_13,LRO,TAC,1,1,2.17,0.23,13,5,8,5,0,0,0,1,0.44,13,1500.0,1500.0,1512.5,1487.5
game_2023_14,ANC,LRO,1,0,1.74,1.0,17,9,4,5,0,0,0,0,0.36,14,1512.5,1512.5,1525.0,1500.0
game_2023_15,WIC,CHM,1,1,1.29,0.91,16,11,13,4,0,0,0,0,0.46,15,1500.0,1512.5,1512.9495297093192,1499.5504702906808
game_2023_16,LAR,SAS,2,1,1.88,0.32,18,3,3,2,0,0,0,0,0.48,16,1512.5,1512.5,1525.0,1500.0
game_2023_17,LEX,SJU,0,0,0.49,0.28,12,9,3,5,0,0,0,0,0.49,17,1487.5,1487.5,1500.0,1475.0
game_2023_18,TAC,TUC,1,3,0.9,2.11,18,18,7,10,0,0,0,0,0.58,18,1487.5,1487.5,1475.0,1500.0
game_2023_19,DES,SFS,2,2,1.42,0.87,20,10,6,8,0,0,0,1,0.49,19,1512.5,1512.5,1525.0,1500.0
game_2023_20,BAK,OAK,1,2,1.27,1.64,9,20,2,3,0,0,0,0,0.55,20,1487.5,1487.5,1475.0,1500.0
game_2023_21,EUG,AUG,2,1,1.16,1.44,10,11,5,5,0,0,0,0,0.53,21,1487.5,1487.5,1500.0,1475.0
game_2023_22,MAN,TOL,3,1,0.67,1.53,19,18,9,9,0,0,0,0,0.53,22,1487.5,1487.5,1500.0,1475.0
game_2023_23,JAC,DOV,2,3,1.01,2.42,7,17,5,5,0,0,0,0,0.65,23,1512.5,1512.5,1500.0,1525.0
game_2023_24,MOB,SPR,1,0,1.42,0.7,15,6,6,4,0,0,1,1,0.67,24,1487.5,1500.0,1500.4495297093192,1487.0504702906808
game_2023_25,BOI,REN,1,1,2.21,0.78,24,9,10,0,0,0,0,0,0.48,25,1512.5,1512.5,1525.0,1500.0
game_2023_26,FOR,PRO,1,2,2.05,0.77,17,14,2,2,0,0,0,0,0.58,26,1512.5,1512.5,1500.0,1525.0
game_2023_27,FAR,ALB,3,2,2.26,1.16,17,10,8,6,0,0,1,0,0.69,27,1487.5,1487.5,1500.0,1475.0
game_2023_28,ALB,FOR,2,2,1.04,1.25,15,12,1,2,0,0,0,0,0.39,28,1475.0,1500.0,1463.3978981736275,1511.6021018263725
game_2023_29,SJU,MAN,1,2,2.31,2.1,19,20,4,3,0,0,1,0,0.55,29,1475.0,1500.0,1463.3978981736275,1511.6021018263725
game_2023_30,TOL,LEX,1,1,2.18,1.27,22,9,6,4,0,0,0,0,0.69,30,1475.0,1500.0,1488.3978981736275,1486.6021018263725
game_2023_31,REN,SFS,0,1,1.5,0.83,18,10,4,7,0,0,0,0,0.37,31,1500.0,1500.0,1487.5,1512.5
game_2023_32,PRO,FAR,3,1,1.61,1.16,16,19,9,2,0,0,0,0,0.47,32,1525.0,1500.0,1536.6021018263725,1488.3978981736275
game_2023_33,AUG,JAC,0,2,1.63,1.16,9,8,2,2,0,0,0,0,0.51,33,1475.0,1500.0,1463.3978981736275,1511.6021018263725
game_2023_34,SAS,OAK,0,2,0.29,0.99,10,15,2,2,0,0,0,0,0.57,34,1500.0,1500.0,1487.5,1512.5
game_2023_35,LAR,BOI,3,0,2.03,0.5,14,7,4,5,0,0,0,0,0.5,35,1525.0,1525.0,1537.5,1512.5
game_2023_36,DOV,WIC,0,2,1.11,1.34,9,13,7,4,0,0,0,0,0.31,36,1525.0,1512.9495297093192,1512.066623248041,1525.8829064612783
game_2023_37,ANC,TAC,3,1,3.05,0.81,17,5,6,1,0,0,1,1,0.44,37,1525.0,1475.0,1535.7134220647904,1464.2865779352096
game_2023_38,CHM,MOB,0,2,1.85,1.14,15,5,6,2,0,0,0,0,0.48,38,1499.5504702906808,1500.4495297093192,1487.0828164812176,1512.9171835187824
game_2023_39,TUC,EUG,3,1,2.18,0.51,14,10,4,9,1,0,1,0,0.58,39,1500.0,1500.0,1512.5,1487.5
game_2023_40,LRO,DES,1,1,1.67,0.55,14,9,7,3,0,0,0,0,0.6,40,1500.0,1525.0,1513.3978981736275,1511.6021018263725
game_2023_41,SPR,BAK,3,3,0.9,1.18,11,8,4,4,0,0,0,1,0.48,41,1487.0504702906808,1475.0,1474.1170935387217,1487.933376751959
game_2023_42,TUC,ANC,2,0,1.67,0.95,14,16,5,2,0,0,0,0,0.58,42,1512.5,1535.7134220647904,1525.8339294600462,1522.3794926047442
game_2023_43,MOB,SJU,0,1,0.57,1.49,5,9,9,8,0,0,1,0,0.5,43,1512.9171835187824,1463.3978981736275,1498.6475507209773,1477.6675309714326
game_2023_44,LEX,PRO,0,1,1.14,0.58,12,8,5,6,0,0,0,0,0.49,44,1486.6021018263725,1536.6021018263725,1475.8886797615821,1547.315523891163
game_2023_45,LRO,JAC,0,1,0.95,1.89,11,11,8,3,0,0,0,0,0.54,45,1513.3978981736275,1511.6021018263725,1500.8332897818023,1524.1667102181977
game_2023_46,DES,LAR,1,2,0.58,1.33,14,17,2,7,0,0,0,1,0.49,46,1511.6021018263725,1537.5,1500.0321317619694,1549.0699700644032
game_2023_47,BOI,OAK,2,0,1.38,0.41,18,14,4,11,0,0,0,0,0.42,47,1512.5,1512.5,1525.0,1500.0
game_2023_48,SFS,TOL,2,1,1.63,1.05,20,10,6,6,0,0,0,0,0.62,48,1512.5,1488.3978981736275,1524.1342455203642,1476.7636526532633
game_2023_49,AUG,DOV,3,3,0.84,0.82,10,18,7,3,0,0,0,0,0.73,49,1463.3978981736275,1512.066623248041,1477.637532588846,1497.8269888328225
game_2023_50,SAS,ALB,2,1,1.53,0.55,20,2,6,1,0,0,0,0,0.49,50,1487.5,1463.3978981736275,1499.1342455203642,1451.7636526532633
game_2023_51,BAK,WIC,1,2,1.45,1.15,5,10,7,5,0,0,0,0,0.38,51,1487.933376751959,1525.8829064612783,1476.793316808902,1537.0229664043352
game_2023_52,MAN,TAC,4,1,1.84,0.09,12,6,7,4,0,0,0,0,0.54,52,1511.6021018263725,1464.2865779352096,1522.4102354265308,1453.4784443350513
game_2023_53,SPR,CHM,2,1,0.83,0.69,12,15,5,6,0,0,1,1,0.44,53,1474.1170935387217,1487.0828164812176,1487.083356491078,1474.1165535288615
